monsterident;datum;fewsparametercategorie;fewsparameternaam;meetwaarde;eenheid
WN_FC2002120272;2002-12-05 09:45;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);1.33;mg/l
WN_FC2003010719;2003-01-15 10:10;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);1.21;mg/l
WN_FC2003010883;2003-01-17 13:13;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.811;mg/l
WN_FC2003020438;2003-02-10 09:15;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);2.18;mg/l
WN_FC2003020428;2003-02-10 10:10;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.138;mg/l
WN_FC2003021673;2003-02-28 13:13;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);1.34;mg/l
WN_FC2003030110;2003-03-04 08:55;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.066;mg/l
WN_FC2003030597;2003-03-11 10:10;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.373;mg/l
WN_FC2003030751;2003-03-12 11:11;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.121;mg/l
WN_FC2003031920;2003-04-01 09:10;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.144;mg/l
WN_FC2003040283;2003-04-04 12:12;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.151;mg/l
WN_FC2003040432;2003-04-07 09:10;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.103;mg/l
WN_FC2003040671;2003-04-10 09:20;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);1.64;mg/l
WN_FC2003050013;2003-05-01 09:40;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.134;mg/l
WN_FC2003050023;2003-05-01 12:12;NUTRI;Ammonium na filtratie (uitgedrukt in mg stikstof/l);0.05;mg/l
