monsterident;datum;fewsparametercategorie;fewsparameternaam;meetwaarde;eenheid
WN_FC2013391442;2013-10-31 10:19;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);250.0;mg/l
WN_FC2013391903;2013-10-31 10:20;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);240.0;mg/l
WN_FC2013391726;2013-11-06 10:52;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);270.0;mg/l
WN_FC2013393006;2013-11-13 12:39;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);280.0;mg/l
WN_FC2013394592;2013-12-03 09:11;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);250.0;mg/l
WN_FC2013395206;2013-12-10 12:05;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);220.0;mg/l
WN_FC2013395338;2013-12-11 09:55;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);270.0;mg/l
WN_FC2013395381;2013-12-12 13:01;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);350.0;mg/l
WN_FC2014396953;2014-01-16 11:29;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);310.0;mg/l
WN_FC2014397174;2014-01-16 13:04;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);330.0;mg/l
WN_FC2014398443;2014-02-05 09:05;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);280.0;mg/l
WN_FC2014398566;2014-02-05 10:15;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);330.0;mg/l
WN_FC2014398497;2014-02-06 11:09;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);180.0;mg/l
WN_FC2014398888;2014-02-10 09:46;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);180.0;mg/l
WN_FC2014399074;2014-02-13 09:28;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);270.0;mg/l
WN_FC2014399029;2014-02-18 10:05;IONEN;M-getal na filtratie (uitgedrukt in mg bicarbonaat/l);280.0;mg/l
