monsterident;datum;fewsparametercategorie;fewsparameternaam;meetwaarde;eenheid;x_location;y_location
WN_FC2013370098;2013-02-18 12:35;IONEN;Calcium na filtratie (mg/l);81.0;mg/l;125290;470063
WN_FC2013371337;2013-03-12 10:57;IONEN;Calcium na filtratie (mg/l);110.0;mg/l;119540;476400
WN_FC2013373025;2013-04-09 11:44;IONEN;Calcium na filtratie (mg/l);80.0;mg/l;128859;480426
WN_FC2013373208;2013-04-10 09:09;IONEN;Calcium na filtratie (mg/l);120.0;mg/l;119540;476400
WN_FC2013373519;2013-04-15 09:35;IONEN;Calcium na filtratie (mg/l);84.0;mg/l;119349;493061
WN_FC2013373843;2013-04-18 09:05;IONEN;Calcium na filtratie (mg/l);81.0;mg/l;119445;463875
WN_FC2013374341;2013-04-22 11:05;IONEN;Calcium na filtratie (mg/l);74.0;mg/l;125290;470063
WN_FC2013375896;2013-05-17 09:58;IONEN;Calcium na filtratie (mg/l);99.0;mg/l;119540;476400
WN_FC2013377702;2013-06-10 12:30;IONEN;Calcium na filtratie (mg/l);63.0;mg/l;128859;480426
WN_FC2013377810;2013-06-12 09:01;IONEN;Calcium na filtratie (mg/l);100.0;mg/l;119540;476400
WN_FC2013378268;2013-06-17 11:29;IONEN;Calcium na filtratie (mg/l);73.0;mg/l;125290;470063
WN_FC2013378429;2013-06-20 09:39;IONEN;Calcium na filtratie (mg/l);87.0;mg/l;119445;463875
WN_FC2013378827;2013-06-24 09:25;IONEN;Calcium na filtratie (mg/l);86.0;mg/l;119349;493061
WN_FC2013380165;2013-07-10 10:10;IONEN;Calcium na filtratie (mg/l);59.0;mg/l;128859;480426
WN_FC2013380121;2013-07-10 10:34;IONEN;Calcium na filtratie (mg/l);73.0;mg/l;119445;463875
WN_FC2013381464;2013-07-15 09:15;IONEN;Calcium na filtratie (mg/l);86.0;mg/l;119349;493061
WN_FC2013382067;2013-07-22 11:17;IONEN;Calcium na filtratie (mg/l);69.0;mg/l;125290;470063
WN_FC2013383298;2013-08-08 09:10;IONEN;Calcium na filtratie (mg/l);91.0;mg/l;119445;463875
WN_FC2013383284;2013-08-08 09:41;IONEN;Calcium na filtratie (mg/l);100.0;mg/l;119540;476400
WN_FC2013383715;2013-08-12 10:38;IONEN;Calcium na filtratie (mg/l);70.0;mg/l;128859;480426
WN_FC2013384389;2013-08-19 09:49;IONEN;Calcium na filtratie (mg/l);84.0;mg/l;119349;493061
WN_FC2013385737;2013-08-26 10:55;IONEN;Calcium na filtratie (mg/l);83.0;mg/l;125290;470063
WN_FC2013387348;2013-09-11 10:00;IONEN;Calcium na filtratie (mg/l);51.0;mg/l;119540;476400
WN_FC2013390372;2013-10-07 09:39;IONEN;Calcium na filtratie (mg/l);74.0;mg/l;128859;480426
WN_FC2013391344;2013-10-21 09:50;IONEN;Calcium na filtratie (mg/l);87.0;mg/l;119349;493061
WN_FC2013391442;2013-10-31 10:19;IONEN;Calcium na filtratie (mg/l);84.0;mg/l;119540;476400
WN_FC2013391903;2013-10-31 10:20;IONEN;Calcium na filtratie (mg/l);91.0;mg/l;119445;463875
WN_FC2013391726;2013-11-06 10:52;IONEN;Calcium na filtratie (mg/l);82.0;mg/l;125290;470063
WN_FC2013393006;2013-11-13 12:39;IONEN;Calcium na filtratie (mg/l);90.0;mg/l;119540;476400
WN_FC2013394592;2013-12-03 09:11;IONEN;Calcium na filtratie (mg/l);90.0;mg/l;119445;463875
WN_FC2013395206;2013-12-10 12:05;IONEN;Calcium na filtratie (mg/l);84.0;mg/l;128859;480426
